
```csv
title,description,explanation,score,status,difficulty,bloomTaxonomy,tags,subjects,topics,subTopics,companies,option1,option2,option3,option4,answer
Bloom Filter False Positives,"**URL blacklist filter uses Bloom filter with 3 hash functions and 1M bits for 100K URLs (10 bits per element). Filter may report URL as 'possibly malicious' (false positive) but never 'safe' when actually malicious (no false negatives). What's the approximate false positive rate?**","Bloom filter false positive rate: (1 - e^(-kn/m))^k where k=hash functions, n=elements, m=bits. For k=3, n=100K, m=1M: ≈(1-e^(-0.3))^3 ≈ 0.0435 (4.35%). As filter fills, FP rate increases. Optimal k = (m/n)×ln(2) ≈ 7 for m/n=10. Never false negatives: if all k bits not set, element definitely absent. Used in: caches, spell checkers, databases.",1,published,hard,analyze,blank,dsa,blank,blank,blank,0% false positives guaranteed,~4-5% false positive rate with given parameters,50% false positive rate,False negatives also occur,2
Hash Map vs TreeMap Ordering,"**E-commerce site displays products. HashMap retrieval O(1), TreeMap O(log n). Product listing requires sorted order by ID. Which structure and why?**","HashMap doesn't maintain order: iteration order unpredictable. TreeMap maintains sorted order (Red-Black tree): iteration gives sorted sequence. For sorted requirements, TreeMap despite O(log n) cost. Alternative: HashMap for storage, sort on retrieval O(n log n). Trade-off depends on read/write ratio. High reads: TreeMap better. High writes: HashMap + occasional sort. LinkedHashMap maintains insertion order (not sorted).",1,published,medium,analyze,blank,dsa,blank,blank,blank,HashMap faster in all cases,TreeMap maintains sorted order for O(log n) operations; needed for ordered iteration,HashMap with sorting on demand better,Both structures maintain order,2
Two Sum Problem Optimal,"**Finding two numbers in array summing to target. Array: [2,7,11,15], target=9. Answer: [2,7]. Brute force: O(n²) checking all pairs. What hash-based optimization achieves O(n)?**

```python
def two_sum(nums, target):
    seen = {}
    for i, num in enumerate(nums):
        complement = target - num
        if complement in seen:
            return [seen[complement], i]
        seen[num] = i
    return []
```

**Why does single-pass hash lookup work?**","For each number, check if complement (target-num) exists in hash. If yes, found pair. If no, add current number to hash. Example: num=2, complement=7, not in hash, add 2. num=7, complement=2, in hash, return [0,1]. Time O(n) for n elements × O(1) hash lookup. Space O(n) for hash. Better than O(n²) brute force or O(n log n) two-pointer on sorted array.",1,published,medium,apply,blank,dsa,blank,blank,blank,Requires sorting first O(n log n),Single pass checking complement existence O(n) time O(n) space,Two pointers always faster,Binary search needed,2
Hash Collision Attack,"**Web server hash table for session IDs uses predictable hash function hash(x)=x%1000. Attacker sends requests with IDs [1000, 2000, 3000, ..., 100000] all hashing to bucket 0. What attack is this and how to prevent?**","Hash collision DoS attack: adversary crafts inputs causing maximum collisions, degrading O(1) to O(n) performance. All 100 requests hash to bucket 0, creating 100-element chain. Prevention: (1) randomized hashing with secret seed (changes per restart), (2) cryptographic hash, (3) limit chain length, (4) switch to balanced tree after threshold. SipHash designed for this. Used in: Python 3.3+, Ruby 1.9+.",1,published,hard,analyze,blank,dsa,blank,blank,blank,Collision attacks impossible with chaining,Adversarial inputs cause O(n) degradation; prevent with randomized hash functions,Increase table size prevents attack,Collisions don't affect security,2
Caching with LRU and Hash,"**LRU cache stores 1000 items. Operations: get(key), put(key, value). Both must be O(1). Implementation combines hash map for O(1) lookup and what data structure for O(1) LRU ordering?**","Doubly linked list maintains LRU order: head=most recent, tail=least recent. Hash map: key → node pointer in list. get(key): hash lookup O(1), move node to head O(1). put(key): hash lookup O(1), if cache full remove tail O(1), insert at head O(1). Total O(1) for both operations. Single structure can't achieve both. List alone: O(n) search. Hash alone: no ordering.",1,published,hard,understand,blank,dsa,blank,blank,blank,Hash map alone sufficient,Doubly linked list with hash map achieves O(1) for both operations,Array with hash for ordering,Binary search tree for ordering,2
Rolling Hash String Matching,"**Finding substring pattern 'abc' in text 'xyzabcdef' using Rabin-Karp rolling hash. Hash function: h=Σ(char[i]×26^i) mod p. After computing hash for 'xyz', how to compute hash for 'yza' in O(1)?**","Rolling hash: remove leftmost character, shift, add rightmost character. h('xyz') = x×26² + y×26¹ + z×26⁰. To get h('yza'): subtract x×26² (leftmost), multiply remainder by 26 (shift), add a×26⁰ (rightmost). Formula: h_new = (h_old - text[i]×26^(m-1)) × 26 + text[i+m]. O(1) per position vs O(m) recomputation. Enables O(n+m) pattern matching.",1,published,hard,apply,blank,dsa,blank,blank,blank,Must recompute hash from scratch O(m),Subtract leftmost × highest power then shift and add rightmost O(1),Hash cannot be updated incrementally,Requires complete rehash,2
Subarray Sum Equals K,"**Finding count of subarrays with sum=k. Array: [1,2,3], k=3. Subarrays: [1,2], [3]. Count=2. Brute force: O(n²) checking all subarrays. What hash-based approach achieves O(n)?**

```python
def subarray_sum(nums, k):
    count = 0
    prefix_sum = 0
    sum_freq = {0: 1}  # Base case: empty subarray
    
    for num in nums:
        prefix_sum += num
        if prefix_sum - k in sum_freq:
            count += sum_freq[prefix_sum - k]
        sum_freq[prefix_sum] = sum_freq.get(prefix_sum, 0) + 1
    
    return count
```

**Why does tracking prefix sum in hash work?**","If subarray [i,j] sums to k, then prefix_sum[j] - prefix_sum[i-1] = k. Rearranged: prefix_sum[i-1] = prefix_sum[j] - k. For each position j, check if (current_prefix - k) seen before. Count tracks frequency for duplicate prefix sums. Example: [1,2,3], k=3. At index 1: prefix=3, (3-3)=0 in hash (count=1). At index 2: prefix=6, (6-3)=3 in hash (count=1). Total=2. Time O(n), Space O(n).",1,published,hard,analyze,blank,dsa,blank,blank,blank,Requires nested loops for correctness,Track prefix sums in hash; check if (current_prefix - k) exists,Sorting required first,Sliding window simpler,2
Hash Set Union and Intersection,"**Social network finds common friends between two users. User A: 10K friends (set A), User B: 15K friends (set B). Using hash sets, what's the time complexity for finding intersection A∩B?**","Using hash set for A: insert 10K elements O(10K). For each element in B: check if in set A O(1) per element, total O(15K). Combined O(10K + 15K) = O(n+m). Space O(10K) for hash set. Without hash: sort both O(n log n + m log m), merge O(n+m). Hash approach better for unsorted data. Used in: social networks, recommendation systems.",1,published,medium,apply,blank,dsa,blank,blank,blank,O(nm) checking each pair,O(n+m) using hash set for membership testing,O(n log n) with sorting,O(min(n,m)) optimal,2
Anagram Grouping,"**Grouping anagrams in word list: ['eat','tea','tan','ate','nat','bat']. Result: [['eat','tea','ate'], ['tan','nat'], ['bat']]. What hash key groups anagrams together?**

```python
def group_anagrams(words):
    from collections import defaultdict
    groups = defaultdict(list)
    
    for word in words:
        key = ''.join(sorted(word))  # What makes this work?
        groups[key].append(word)
    
    return list(groups.values())
```

**Why does sorted string work as hash key?**","Anagrams have same letters, different order. Sorted string is canonical form: 'eat'→'aet', 'tea'→'aet', 'ate'→'aet'. Same key → same bucket. Hash groups anagrams automatically. Time O(n×k log k) where n=words, k=avg word length (sorting cost). Alternative: character frequency as key (26-letter array/tuple) O(n×k). Both group anagrams correctly.",1,published,medium,understand,blank,dsa,blank,blank,blank,First letter suffices as key,Sorted string canonical form groups anagrams with same hash key,Length-based grouping required,Anagram detection requires comparison,2
Rehashing Strategy Comparison,"**Database index grows from 1M to 2M entries. Two rehashing strategies: (1) double table size immediately when threshold reached, (2) incremental rehashing spreading over many operations. What's the latency trade-off?**","Strategy 1 (immediate): single operation takes O(n) time (all entries rehashed), causes latency spike, but subsequent operations O(1). Strategy 2 (incremental): each operation rehashes few entries, amortizes cost, no spikes, slightly higher average cost per operation. Used in Redis: maintains two hash tables, gradually migrates. For real-time systems (low latency required), incremental better. For batch systems, immediate acceptable.",1,published,hard,analyze,blank,dsa,blank,blank,blank,Both strategies have identical latency,Immediate causes O(n) spike; incremental amortizes cost avoiding latency spikes,Incremental always slower overall,Rehashing never necessary,2
Perfect Hashing,"**Compiler symbol table stores 500 reserved keywords (fixed set). Perfect hashing constructs hash function guaranteeing zero collisions. What property makes perfect hashing feasible here?**","Perfect hashing possible when key set known in advance and unchanging. Build specialized hash function (often two-level: primary hash, secondary hash per bucket) mapping 500 keys to 500 slots collision-free. Construction O(n²) time, but lookups O(1) worst-case. Infeasible for dynamic sets (new keys invalidate function). Used in: compilers, static configuration, minimal perfect hashing for space efficiency.",1,published,hard,understand,blank,dsa,blank,blank,blank,Any hash function achieves perfect hashing,Static key set allows constructing collision-free hash function,Table size must equal key count,Perfect hashing works for dynamic sets,2
Hash Join in Databases,"**Database joins two tables: Customers (1M rows) and Orders (10M rows) on customer_id. Hash join algorithm builds hash table on smaller table (Customers), probes with larger table (Orders). Why hash smaller table?**","Hash smaller table: 1M entries × O(1) insert = O(1M) build phase. Probe with 10M × O(1) lookup = O(10M) probe phase. Total O(11M). If hash larger table: 10M build + 1M probe = O(11M) same asymptotically, but higher constant (10M hash table vs 1M). Memory: hash table size proportional to smaller table. For nested loop join: 1M×10M = O(10¹³) comparisons. Hash join dramatically faster.",1,published,medium,analyze,blank,dsa,blank,blank,blank,Hash larger table for better performance,Hash smaller table reduces memory and has better constants,Both approaches identical,Sorting required before hashing,2
Universal Hashing Family,"**To defend against hash collision attacks, system uses universal hashing: randomly selects hash function from family at runtime. Function family: h_a,b(k) = ((ak + b) mod p) mod m where p is prime > universe size, a,b random. What property does universal hashing guarantee?**","Universal hashing guarantees: for any two distinct keys x≠y, probability of collision Pr[h(x)=h(y)] ≤ 1/m (table size). Over all random choices of h from family. This bound holds regardless of keys (no adversarial input). Expected collisions for any key: ≤ α (load factor). Deterministic hash: adversary crafts n keys all colliding. Universal: adversary cannot predict which function selected.",1,published,hard,understand,blank,dsa,blank,blank,blank,Zero collisions guaranteed,Collision probability ≤ 1/m for any key pair regardless of adversarial input,Requires cryptographic security,Only works with prime table sizes,2
Hash Table For Deduplication,"**File backup system deduplicates 1TB data (1M files) using content-based hashing (SHA-256). Hash collisions for SHA-256 are astronomically rare (2^-256). What's the time and space complexity for detecting duplicates?**","Compute hash for each file: O(file_size) per file. Store in hash set: O(1) per hash. Total time O(Σfile_sizes) = O(total_data) for hashing + O(n) for n files. Space O(n) for n hashes (32 bytes each = 32MB for 1M files). Collision probability negligible: can assume no collisions. Alternative: byte-by-byte comparison O(n²×file_size) infeasible. Content hashing enables O(n) deduplication. Used in: Git, dedup storage, backup systems.",1,published,medium,apply,blank,dsa,blank,blank,blank,O(n²) comparing all file pairs,O(total_data) for hashing + O(n) space for hash storage,O(n log n) with sorting,Requires building tree structure,2
Hash Partitioning for Parallelism,"**MapReduce job processes 1B records across 1000 machines. Records partitioned by hash(key) mod 1000 to assign machines. Key distribution: 80% of keys have hash values 0-99 (skewed). What problem occurs and how to fix?**","Hash partitioning with skewed distribution: machines 0-99 overloaded (800M records), machines 100-999 underloaded (200M records). Causes stragglers, poor parallelism. Fix: (1) use better hash function for uniform distribution, (2) range partitioning if keys have known distribution, (3) consistent hashing with virtual nodes, (4) dynamic load balancing. Uniform hashing critical for distributed systems.",1,published,hard,analyze,blank,dsa,blank,blank,blank,Even load distribution guaranteed,Skewed hash causes load imbalance; need uniform hash or load balancing,More machines solve the problem,Partitioning irrelevant for performance,2
Cuckoo Hashing Displacement,"**Cuckoo hashing uses two hash functions h₁, h₂ and two tables. Inserting key: if h₁(key) occupied, displace existing, try inserting displaced key at its alternate location (h₂). For tables size 5 each, inserting [1,2,3,4,5,6] with h₁(x)=x%5, h₂(x)=(x+1)%5. What happens inserting 6 after others?**","After inserting 1-5 in table 1 (all buckets full), inserting 6: h₁(6)=1 (occupied by 1), displace 1, try h₂(1)=2 (occupied by 2), displace 2, try h₁(2)=2 (occupied), cycle detected. Rehash with new functions. Cuckoo hashing guarantees O(1) worst-case lookup (check both locations), but insertion can fail requiring rehash. Typically succeeds if α<0.5 per table (total α<1 for both tables).",1,published,hard,apply,blank,dsa,blank,blank,blank,Insertion always succeeds,Displacement chain may cycle requiring rehash with new hash functions,Second table prevents any failures,Linear probing backup required,2
Hash Table Memory Overhead,"**Embedded system compares data structures: array (100% utilization), hash table with chaining (load factor 0.7, pointer overhead 8 bytes/entry). For storing 1M 32-bit integers, what's approximate memory ratio hash:array?**","Array: 1M × 4 bytes = 4MB. Hash table: 1M/0.7 ≈ 1.43M buckets × 4 bytes (assuming array-based buckets) + 1M × (4 bytes data + 8 bytes pointer) = 5.72MB + 12MB = 17.72MB. Ratio ≈ 4.4:1. Hash provides O(1) access but significant memory overhead. For memory-constrained systems, arrays/sorted arrays better if access patterns allow. Trade-off: speed vs space.",1,published,medium,analyze,blank,dsa,blank,blank,blank,Hash tables use less memory than arrays,Hash table uses ~4-5x more memory due to buckets and pointers,Both use identical memory,Hash table doubles array memory,2
Extendible Hashing Dynamic,"**Database uses extendible hashing: global depth d, local depths per bucket. Initially d=2, 4 buckets (00,01,10,11). Bucket 01 overflows, splits. What happens to global depth and bucket structure?**","Bucket 01 splits into two: 001 and 011 (local depth 3). If current global depth d=2 insufficient to distinguish, increase global depth to d=3, double directory size to 8 entries. Directory entries 001,011 point to new buckets, others map to existing buckets. Allows dynamic growth without full rehash. Only overflowing bucket splits. Used in: dynamic file systems, databases (ISAM), when avoiding full rehash critical.",1,published,hard,understand,blank,dsa,blank,blank,blank,Global depth never changes,Overflow increases local depth; global depth increases if needed doubling directory,All buckets split simultaneously,Linear probing handles overflow,2
```
